order_id,user_id,estimated arrival,transaction_date
0248bb48-d0d0-4a11-a158-f620640a757a,USER16283,13days,2020-06-04
14473b59-6c4f-429e-89ef-ce920b209df3,USER08179,8days,2020-04-07
62b8fabf-4e0a-4383-8b3a-7276c77f9e8c,USER55688,10days,2020-05-07
96a01cee-071d-4e10-a9e4-56a31b82a9d5,USER34967,8days,2020-06-05
479b1a6c-3a76-41a7-b15d-71acd4045080,USER07130,15days,2020-05-24
579acffb-9fbf-4d5d-be56-19bb793c7e99,USER45764,4days,2020-03-16
1b663b9f-deae-4554-b713-4a3655a4a1e0,USER05848,7days,2020-04-22
c218f18b-d8a6-4125-a408-d05a15b95e92,USER54942,5days,2020-02-20
3d70b1a6-aa00-4ccc-baf0-3f47822cd5af,USER15563,13days,2020-06-16
f52f02bd-1e63-4ae4-82d4-22d6b2ad3f6e,USER54512,15days,2020-02-10
72ba9f5c-0dfd-4245-bf84-3d547f043767,USER57379,7days,2020-05-18
88626ace-0c22-48c5-9767-23e21ef4c3b0,USER23444,10days,2020-06-30
6f4e729a-77b7-4ad9-8ecd-ce38141295bf,USER23722,14days,2020-04-10
a9fbd9aa-f7ed-491b-b68c-26c3bd1b803b,USER29515,11days,2020-05-29
eb8c8eef-dbd4-4244-b2c5-0a7bf8e79222,USER41014,14days,2020-04-30
197afb4e-9384-4bfb-8be0-d0bdb0afc6f8,USER16680,11days,2020-03-31
2e44dc94-4308-4606-acdc-45a157df44e1,USER52874,9days,2020-03-21
eaf6d5c2-ac0a-4eed-8543-da345074485a,USER07313,15days,2020-05-29
b6221277-f3a0-452e-ac7f-288f49f565d1,USER64874,5days,2020-05-18
b1799525-f425-4509-9bb8-81c5191fcf4f,USER18979,5days,2020-06-24
2877854e-77e7-45c9-b8b3-5bb4a5ef8bb1,USER21694,3days,2020-04-08
9ea7cce9-8bba-4467-9245-b0604d2c9053,USER57162,6days,2020-04-17
15777c8c-a3c8-468d-b515-4f4ed765da5d,USER10862,14days,2020-05-30
2be62dac-6822-44a5-8b0b-5eb2fa6dcbf6,USER00557,11days,2020-03-28
cf792ce5-3321-4a4f-9986-3304d12e9eec,USER45807,5days,2020-01-12
02c776b4-ab4e-4acc-8444-c9c4a6c4cc08,USER16887,9days,2020-05-26
fa916dfd-7b67-4b02-9fe0-323950c8bbc6,USER06849,7days,2020-05-30
fcb241ca-a2b4-4588-917a-1baf7cb5dd09,USER06665,10days,2020-04-25
5b9d2c3d-86b3-497e-92e0-1bd9e06754ef,USER45066,11days,2020-02-20
0956db21-894e-45d2-8459-8597a4b9ea53,USER14888,5days,2020-04-05
5418cca4-5933-48e5-b084-362150fa0f71,USER04761,7days,2020-03-17
af43af9c-5ff7-4a66-b71f-617aabe716d3,USER64248,9days,2020-04-08
6b4b104a-2b69-4bfd-9e62-e58aa31fe2dd,USER22610,11days,2020-05-11
7cc42317-2c99-475c-8fef-f13f042fb309,USER46092,3days,2020-06-19
3e69b3bb-f6a6-44fa-b2a7-2b89c756626a,USER58470,12days,2020-06-08
30118bca-b685-455c-ae24-ff06746afeea,USER11798,9days,2020-03-08
a75ce022-5325-4e1e-9aec-2a6eb093eba6,USER55307,7days,2020-03-18
8a897066-fe83-4fcc-9be3-8ad6c2fd3d00,USER03524,10days,2020-02-17
804b02c2-c65f-47ee-a7c3-8e82c20ccb3f,USER28956,10days,2020-02-04
f40686ad-1799-4b40-84e3-ecd5e85b7010,USER45736,15days,2020-05-23
630ef957-252f-4ab3-bd19-1f835b39d412,USER09836,6days,2020-05-31
042e4dfe-5f01-4e8d-b127-223a42ff12fa,USER52058,5days,2020-01-18
8ca10578-09ea-4703-aa90-fc278a9612c6,USER55039,8days,2020-06-06
6fe4de47-4797-4fdb-996f-07e09148e81c,USER40910,10days,2020-06-17
4a500282-9581-49bd-9e1a-8dd5ef9cb1c9,USER61761,6days,2020-04-19
14b1f248-89c9-4895-ba09-2584bf195a91,USER36931,4days,2020-06-19
01fb171d-36f3-4943-b5d7-3f0b44234309,USER09322,9days,2020-05-05
03d11b7e-deb7-430d-842d-09cbc8bb0972,USER23738,14days,2020-05-18
7f3aae05-c5e0-4e3d-90cb-5b754074dfd3,USER06268,7days,2020-06-18
6e769a8c-9899-43f2-ad38-c0e4cf10fa8d,USER41405,13days,2020-01-05
9a841c1f-ebb0-4f0f-9e7a-09b396530495,USER49288,4days,2020-04-23
