product_id,product_name,product_type,price
PRODUCT16794,Grandmas swedish thin pancakes,readymade_breakfast,12.81
PRODUCT61957,Chili jack oven omelet,readymade_breakfast,9.95
PRODUCT23890,Baked pears,readymade_breakfast,10.04
PRODUCT52912,Best buttermilk pancakes,readymade_breakfast,5.83
PRODUCT56387,Blackberry breakfast bars,readymade_breakfast,14.0
PRODUCT28708,Toasted sunny side up egg and cheese sandwiches,readymade_breakfast,13.55
PRODUCT00299,Pikelets australian pancakes,readymade_breakfast,15.23
PRODUCT38108,Scrambled eggs oeufs brouills,readymade_breakfast,7.28
PRODUCT17375,Baked pears,readymade_breakfast,9.92
PRODUCT26612,Moms cheat doughnuts,readymade_breakfast,6.78
PRODUCT07585,Scrambled egg sandwiches with onions and red peppers,readymade_breakfast,13.61
PRODUCT50553,Cheery cherry muffins,readymade_breakfast,7.53
PRODUCT08098,Bacon egg casserole,readymade_breakfast,12.39
PRODUCT29135,Mexi eggs in a hole,readymade_breakfast,9.4
PRODUCT21559,Vanilla fruit dip,readymade_breakfast,7.75
PRODUCT32948,Original praline bacon recipe,readymade_breakfast,9.19
PRODUCT56813,Chili jack oven omelet,readymade_breakfast,15.5
PRODUCT06101,Chicken and egg on rice oyako donburi,readymade_breakfast,10.95
PRODUCT63736,Easy breakfast casserole,readymade_breakfast,13.11
PRODUCT02479,3 meat breakfast pizza,readymade_breakfast,5.65
PRODUCT17344,Baked swiss cheese omelet,readymade_breakfast,8.72
PRODUCT30732,Original praline bacon recipe,readymade_breakfast,8.43
PRODUCT45809,Scrambled eggs oeufs brouills,readymade_breakfast,6.82
PRODUCT11333,Flaeskeaeggekage danish bacon egg pancake omelet,readymade_breakfast,7.65
PRODUCT07816,Egg flowers,readymade_breakfast,8.83
PRODUCT13168,Toasted sunny side up egg and cheese sandwiches,readymade_breakfast,8.07
PRODUCT10771,Sleepy twisted sisters g n g breakfast ramekin,readymade_breakfast,11.6
PRODUCT14431,Fresh mango bread,readymade_breakfast,6.87
PRODUCT42855,Easy danish kringle,readymade_breakfast,6.94
PRODUCT47927,Ham omelet deluxe,readymade_breakfast,13.87
