merchant_id,creation_date,name,street,state,city,country,contact_number
MERCHANT53971,2022-06-28 11:42:04,Whitby Group,813 North Isle bury,South Carolina,Boise,Brunei Darussalam,661-157-5528
MERCHANT31852,2021-08-05 12:04:33,United Mayflower,730 East Islands side,Virginia,Atlanta,Mali,939-273-0312
MERCHANT63299,2021-08-15 19:00:03,TransparaGov,2619 Coves haven,Maine,Indianapolis,Chad,181-438-5899
MERCHANT16722,2023-02-28 20:35:34,Maponics,979 North Rue borough,Wyoming,Boise,Guatemala,494-319-8223
MERCHANT49062,2023-06-03 01:52:57,Propeller Health,4697 Port Circle port,Vermont,Memphis,Tunisia,851-165-0684
MERCHANT58580,2020-05-07 04:58:04,Rivet Software,738 New Place view,Michigan,San Francisco,Sint Maarten (Dutch part),669-684-8313
MERCHANT64273,2021-01-10 12:43:28,Intelius,6381 Greens view,Minnesota,Memphis,Brazil,110-391-5904
MERCHANT7177,2021-04-28 08:16:21,SAP,49636 New Views chester,New York,Mesa,Botswana,796-962-6838
MERCHANT53625,2021-04-07 05:27:53,"Ontodia, Inc",44956 Trail berg,North Dakota,San Bernardino,Senegal,849-517-8144
MERCHANT49818,2020-08-24 04:25:33,Cloudmade,489 New Ford burgh,Wyoming,Fort Wayne,Greece,905-157-1816
MERCHANT65041,2021-04-29 13:49:11,Credit Sesame,18743 Points chester,Utah,Louisville/Jefferson,Jamaica,869-483-3237
MERCHANT37773,2022-05-15 21:31:23,Orlin Research,87311 East Burg chester,New Hampshire,Tulsa,Italy,537-645-9173
MERCHANT36302,2023-02-09 17:42:45,Patently-O,2685 West Throughway ton,Idaho,Durham,Belgium,211-007-8736
MERCHANT16337,2020-02-20 15:53:14,The Advisory Board Company,8948 Garden berg,California,Jersey,Nigeria,184-668-8836
MERCHANT59069,2023-10-15 10:10:58,Careset.com,55026 East Isle ville,Iowa,Tampa,Cambodia,483-465-1240
MERCHANT12420,2022-06-22 19:28:20,Stevens Worldwide Van Lines,445 Hills bury,Iowa,Oklahoma,Egypt,037-884-1605
MERCHANT12063,2020-01-22 10:27:39,"Govzilla, Inc.",4236 Heights ton,Delaware,Jacksonville,Russian Federation,342-814-9030
MERCHANT8354,2020-09-12 19:10:31,IBM,655 Lane berg,New York,Boston,Jamaica,276-431-8955
MERCHANT9424,2022-12-29 23:17:17,"Qado Energy, Inc.",852 Isle furt,Kansas,Winston-Salem,Timor-Leste,332-133-3264
MERCHANT64706,2022-06-12 23:14:18,Arrive Labs,14856 Corner shire,Oklahoma,Lexington-Fayette,"Saint Helena, Ascension and Tristan da Cunha",893-791-2332
MERCHANT64539,2023-01-09 09:48:29,Avalara,6276 Cliff mouth,Kentucky,Phoenix,San Marino,864-208-7375
MERCHANT28613,2020-12-16 04:03:48,CityScan,3976 Track port,New Mexico,Jacksonville,France,053-436-4657
MERCHANT62014,2023-09-22 16:53:02,"OpportunitySpace, Inc.",3315 Station burgh,Kansas,San Antonio,Colombia,186-115-1653
MERCHANT40428,2021-05-10 19:28:35,Bing,9913 Streets port,North Carolina,Corpus Christi,Nigeria,307-099-3590
MERCHANT23778,2022-01-23 01:52:09,Analytica,9291 West Forks chester,Illinois,Detroit,Solomon Islands,199-082-8182
MERCHANT2267,2023-04-14 06:54:22,Spokeo,6152 Port Streets mouth,Colorado,Durham,Falkland Islands (Malvinas),493-582-4413
MERCHANT51858,2021-08-19 04:48:37,Social Explorer,19817 Villages mouth,Iowa,Omaha,South Sudan,698-952-1373
MERCHANT23790,2020-10-02 06:36:52,GenoSpace,37342 New Squares burgh,Ohio,Winston-Salem,"Moldova, Republic of",116-848-7590
MERCHANT5471,2021-06-21 14:30:10,Eat Shop Sleep,235 South Villages stad,Texas,Tampa,Virgin Islands (British),125-472-5162
MERCHANT16569,2021-06-30 00:46:22,EarthObserver App,549 Union mouth,Ohio,Durham,Nicaragua,164-157-7568
MERCHANT39950,2021-05-10 08:09:48,Jurispect,6591 Lake Light view,Mississippi,Honolulu,Zambia,041-930-9759
MERCHANT26316,2020-06-06 09:06:00,Relationship Science,5970 Brooks land,Vermont,Austin,Andorra,928-713-0898
MERCHANT44672,2021-03-16 06:15:13,Quid,54227 Mountains view,Washington,Jersey,Brazil,602-429-5450
MERCHANT31190,2023-08-01 03:10:42,Merrill Corp.,4646 Mountain furt,Arizona,Santa Ana,"Bonaire, Sint Eustatius and Saba",315-165-7278
MERCHANT21974,2021-11-12 10:38:56,Embark,321 East Key borough,Oklahoma,St. Petersburg,Tajikistan,301-427-1791
MERCHANT28728,2020-08-22 00:12:56,TuvaLabs,6715 Walk port,Hawaii,Tampa,Martinique,178-972-6567
MERCHANT30498,2022-12-21 20:57:37,Granicus,3684 Lake Villages shire,North Carolina,Scottsdale,Slovakia,392-537-4231
MERCHANT51340,2021-09-20 14:47:26,MuckRock.com,140 Wall chester,Kansas,Santa Ana,Jamaica,293-573-5961
MERCHANT1931,2022-08-17 08:49:33,Experian,21423 Estates view,Louisiana,Chicago,Bahamas,714-800-3806
MERCHANT39507,2021-01-23 06:04:16,OnStar,3161 Keys town,Maryland,Colorado Springs,Austria,578-137-1573
MERCHANT47717,2020-01-17 18:44:16,Energy Solutions Forum,1361 New Station view,Michigan,Santa Ana,Mauritius,793-605-2127
MERCHANT54597,2023-10-06 14:59:00,CAN Capital,237 West Crossroad fort,Idaho,Kansas,Belgium,309-691-1461
MERCHANT64930,2020-01-13 20:44:26,First Fuel Software,500 Hills mouth,Arkansas,Durham,Japan,608-101-0457
MERCHANT2347,2022-03-25 19:29:08,Energy Solutions Forum,3799 Port Estate burgh,Mississippi,Fremont,Burundi,588-350-7678
MERCHANT18778,2021-07-19 04:28:02,FutureAdvisor,5422 Manor mouth,Connecticut,Corpus Christi,China,376-532-6738
MERCHANT33975,2023-08-17 21:56:50,Trintech,48999 Harbors town,Nebraska,Henderson,Viet Nam,783-341-9191
MERCHANT24129,2022-02-07 14:39:54,Smartronix,956 Springs mouth,Connecticut,Miami,Belarus,923-100-1735
MERCHANT15599,2020-07-12 06:36:07,Fitch,22812 Crossroad land,Arkansas,Irvine,United Arab Emirates,748-757-8231
MERCHANT42579,2022-12-14 21:03:23,Stevens Worldwide Van Lines,514 New Lights port,North Dakota,Chandler,Colombia,478-494-8622
MERCHANT27759,2022-03-01 23:49:05,Archimedes Inc.,4163 Port Loop furt,Kansas,Pittsburgh,Guernsey,573-352-4859
MERCHANT40504,2022-03-03 19:36:39,MapQuest,7962 North Forks view,Delaware,Sacramento,Saint Vincent and the Grenadines,334-489-3195
MERCHANT19250,2021-11-03 05:34:29,"Lumesis, Inc.",15073 Turnpike fort,Wyoming,Reno,Sint Maarten (Dutch part),797-539-9270
MERCHANT52578,2023-10-27 02:52:45,TuvaLabs,2386 Street shire,Tennessee,Raleigh,Armenia,861-709-2051
MERCHANT53295,2021-11-29 11:29:21,SAP,224 Union furt,Pennsylvania,Lubbock,Namibia,768-261-1898
MERCHANT35871,2023-06-15 06:19:02,Tableau Software,19051 Walks stad,Utah,Tulsa,Saint Barth̩lemy,669-633-3530
MERCHANT45976,2022-05-05 02:53:06,Estately,21460 North Roads side,Wyoming,Long Beach,Angola,960-325-6209
MERCHANT61111,2021-01-03 12:54:24,Intermap Technologies,21216 Land fort,Idaho,Plano,Jamaica,889-414-1706
MERCHANT52033,2022-09-05 16:02:40,Esri,305 North Manor mouth,Oklahoma,Irvine,Montserrat,906-657-4041
MERCHANT52325,2022-09-21 11:45:46,CGI,263 Drives mouth,Oklahoma,Las Vegas,Kuwait,068-270-6257
MERCHANT10967,2020-02-07 07:35:37,IBM,7061 Port Plain haven,Idaho,Minneapolis,San Marino,454-656-7573
MERCHANT50229,2021-11-09 17:55:00,Oversight Systems,787 Squares stad,Louisiana,Jersey,Australia,361-981-2445
MERCHANT4444,2023-06-05 04:49:21,Nielsen,901 Cliffs mouth,Rhode Island,Detroit,Morocco,174-359-8816
MERCHANT57592,2022-07-22 04:29:06,WebFilings,159 Port Drive ville,Oregon,North Las Vegas,Finland,470-198-7051
MERCHANT27118,2020-11-07 06:30:59,Thomson Reuters,958 Stream haven,Georgia,Winston-Salem,Niue,703-553-1355
MERCHANT46141,2021-11-03 00:41:12,Honest Buildings,62506 North Island chester,Mississippi,Aurora,Niger,649-915-6263
MERCHANT51930,2022-05-30 18:42:41,DataWeave,3915 Shore chester,Pennsylvania,Boise,Indonesia,279-904-7828
MERCHANT48207,2020-08-25 03:28:10,48 Factoring Inc.,3551 Lock ton,Iowa,Detroit,Pakistan,899-866-1152
MERCHANT11368,2022-09-19 03:25:45,Ernst & Young LLP,4010 New Isle mouth,New York,Irvine,Saint Vincent and the Grenadines,988-290-8313
MERCHANT0156,2020-10-30 16:14:32,Buildingeye,778 Manor town,Indiana,Virginia Beach,Israel,163-256-5415
MERCHANT13394,2020-11-06 15:23:34,Oliver Wyman,58250 North Spur bury,Indiana,Boise,Saint Martin (French part),425-268-9106
MERCHANT6620,2021-03-01 04:36:08,Locavore,448 Harbors furt,West Virginia,Pittsburgh,Togo,940-464-6749
MERCHANT56806,2022-11-22 07:08:35,Arrive Labs,948 Light fort,Oklahoma,Mesa,Cayman Islands,478-527-1504
MERCHANT31755,2021-12-12 10:08:42,Nationwide Mutual Insurance Company,114 South Roads stad,Missouri,Miami,Gibraltar,179-715-4786
MERCHANT38808,2020-07-09 14:34:46,Optensity,2131 Rapids borough,Michigan,Chula Vista,Mali,300-936-3460
MERCHANT47751,2021-06-09 13:21:25,"LegiNation, Inc.",522 Villages view,Maryland,Fort Worth,Martinique,654-130-6019
MERCHANT26231,2021-10-05 09:16:05,InfoCommerce Group,16019 Village port,Ohio,Winston-Salem,Slovakia,288-412-6473
MERCHANT56769,2021-04-01 18:43:29,Arrive Labs,6961 Bridge haven,South Dakota,Birmingham,China,394-482-1230
MERCHANT2580,2021-05-09 14:42:39,iMedicare,48020 Lake Harbor bury,New Mexico,Baton Rouge,Madagascar,961-351-4696
MERCHANT22462,2021-03-24 10:50:26,Granicus,9206 River port,Idaho,Honolulu,Bolivia (Plurinational State of),321-271-7187
MERCHANT22474,2021-11-27 15:47:01,Science Exchange,59188 Ford port,West Virginia,San Francisco,Finland,755-823-3556
MERCHANT16694,2021-05-13 11:27:39,Merrill Corp.,122 Port Freeway haven,Wyoming,St. Louis,Bahamas,390-371-8419
MERCHANT12673,2020-10-30 14:24:15,WaterSmart Software,49465 Lock mouth,Georgia,Norfolk,Norway,702-639-9623
MERCHANT49113,2021-10-29 16:28:52,Barchart,46469 Radial ton,California,Madison,Guadeloupe,313-287-1485
MERCHANT10443,2021-03-29 15:04:00,Cambridge Semantics,3945 Ridge shire,Utah,Oakland,Samoa,355-952-0356
MERCHANT62031,2020-05-31 20:54:09,NuCivic,99822 Dam fort,Michigan,Louisville/Jefferson,Chad,961-100-8968
MERCHANT54665,2021-02-02 05:02:31,TagniFi,141 Harbors side,Wyoming,New York City,Yemen,061-529-8390
MERCHANT17759,2021-04-28 10:43:12,SocialEffort Inc,4845 Place side,Kansas,New York City,Nauru,046-361-2870
MERCHANT59760,2023-04-19 19:20:15,SeeClickFix,43551 Divide mouth,New Hampshire,Durham,Singapore,470-443-8632
MERCHANT0640,2022-10-26 03:34:09,Eat Shop Sleep,1211 East Estates burgh,South Carolina,San Diego,Viet Nam,396-530-9161
MERCHANT26522,2023-06-01 13:50:07,Child Care Desk,73727 East Knolls chester,Vermont,Raleigh,Saint Pierre and Miquelon,668-523-5088
MERCHANT35818,2020-12-09 09:18:14,BuildZoom,7843 South Plains furt,Nevada,Milwaukee,Jersey,579-063-7493
MERCHANT25684,2022-12-04 06:00:31,Locavore,74106 East Brooks bury,New Hampshire,Arlington,Brunei Darussalam,118-580-9124
MERCHANT6814,2020-11-06 05:23:26,OnDeck,1479 Oval mouth,Georgia,Boise,Solomon Islands,608-552-1056
MERCHANT49003,2021-11-05 06:38:01,Paxata,6504 Port Estate shire,South Carolina,Memphis,Rwanda,726-358-9817
MERCHANT28531,2023-10-31 01:17:12,Housefax,29424 New Courts borough,Maryland,Arlington,Venezuela (Bolivarian Republic of),112-175-1403
MERCHANT24052,2020-04-06 02:40:30,TrialTrove,189 Mills land,Colorado,Fresno,Isle of Man,493-882-1438
MERCHANT35414,2020-12-23 00:07:45,Cerner,84286 North Plaza furt,New Jersey,Nashville-Davidson,Bouvet Island,540-660-5806
MERCHANT45605,2023-03-29 09:16:28,Govini,7367 East Spur land,Washington,Garland,Niue,360-292-3766
MERCHANT19478,2021-07-06 18:45:55,OptumInsight,89742 West Streets ton,New Hampshire,Lexington-Fayette,Myanmar,455-401-1624
MERCHANT38950,2020-06-15 12:42:13,WebMD,113 Branch furt,Wisconsin,Scottsdale,Cyprus,168-110-9769
MERCHANT45413,2020-05-29 07:08:03,Webitects,36830 New Ways port,Hawaii,Omaha,Iran (Islamic Republic of),822-882-8909
MERCHANT11340,2021-12-07 18:58:05,NonprofitMetrics,19155 Bypass shire,Oklahoma,Las Vegas,Mauritius,434-975-2243
MERCHANT40721,2023-03-11 17:41:22,SlashDB,515 Drive ton,New York,Omaha,New Zealand,495-485-6796
MERCHANT28650,2023-01-23 15:14:41,Xatori,553 Port Springs side,South Dakota,Laredo,Equatorial Guinea,367-128-6751
MERCHANT16284,2023-04-23 11:08:22,SpaceCurve,7162 New Isle mouth,Iowa,Birmingham,Nicaragua,475-114-9121
MERCHANT14908,2020-01-22 12:31:14,LegiStorm,362 South Valley town,Nebraska,Garland,Albania,734-066-4247
MERCHANT35231,2021-10-16 08:28:02,MetLife,51007 Mews ton,Maine,Buffalo,Cyprus,775-526-9727
MERCHANT53102,2021-12-06 17:30:25,WebFilings,7561 Points berg,Missouri,Aurora,Nepal,148-365-9781
