merchant_id,creation_date,name,street,state,city,country,contact_number
MERCHANT56138,2020-08-27 20:35:19,YourMapper,54861 Springs view,Colorado,Cleveland,Sint Maarten (Dutch part),046-415-8092
MERCHANT16559,2022-06-25 03:42:30,"Graematter, Inc.",343 Turnpike haven,Ohio,Oakland,Grenada,081-703-1260
MERCHANT25558,2020-10-18 14:22:36,Smartronix,77581 North Mountain town,Kentucky,Newark,Tokelau,447-465-2896
MERCHANT61751,2021-06-17 22:31:35,The Govtech Fund,859 Union chester,Illinois,Fort Wayne,Japan,752-460-4265
MERCHANT50356,2021-10-17 14:36:06,"Calcbench, Inc.",739 Land stad,Maryland,Lincoln,Egypt,010-150-5687
MERCHANT60291,2022-10-04 15:08:39,ZocDoc,168 North Mountains side,Louisiana,Aurora,Botswana,909-278-7805
MERCHANT18987,2020-11-05 11:22:58,Credit Karma,7468 Shoals side,Mississippi,Orlando,Peru,372-300-4707
MERCHANT40661,2021-09-28 01:02:32,eInstitutional,8358 Lake Bypass furt,Illinois,Irvine,Senegal,186-554-1305
MERCHANT38746,2023-11-27 12:24:25,Certara,385 New Locks view,Pennsylvania,Durham,Brazil,188-660-3392
MERCHANT16559,2023-03-01 06:14:08,CoreLogic,563 Motorway shire,Washington,Plano,Maldives,801-155-4389
MERCHANT51594,2023-08-10 17:10:08,BizVizz,78997 Cliffs town,Maine,Sacramento,Cambodia,936-740-1242
MERCHANT57324,2021-07-28 09:51:44,J.P. Morgan Chase,23530 South Fort view,Vermont,San Diego,Latvia,634-330-2755
MERCHANT15438,2020-05-24 04:48:01,Headlight,854 New Summit mouth,Utah,Corpus Christi,Ireland,028-054-6357
MERCHANT0224,2022-12-18 04:20:09,"Urban Mapping, Inc",71284 Port Point burgh,Arizona,Winston-Salem,Italy,412-106-5024
MERCHANT30291,2021-05-17 11:29:12,Scale Unlimited,525 Greens berg,Washington,Birmingham,Liechtenstein,937-432-3781
MERCHANT55466,2020-04-15 15:22:13,Tableau Software,472 Valley furt,Wyoming,Buffalo,Philippines,030-974-0918
MERCHANT51658,2020-11-10 07:03:24,Honest Buildings,74191 Ways port,Oregon,Columbus,Wallis and Futuna,123-411-2254
MERCHANT52135,2020-11-22 04:45:54,OnDeck,626 North Vista fort,Indiana,Mesa,India,577-294-8642
MERCHANT51926,2023-06-25 12:29:11,Webitects,7770 North Roads stad,Massachusetts,Long Beach,Chile,908-045-1675
MERCHANT7914,2020-03-02 22:32:58,InnoCentive,1952 Row town,Connecticut,Santa Ana,Holy See,398-278-3692
MERCHANT28237,2023-10-13 14:10:54,Orlin Research,1236 West Spur fort,Tennessee,Raleigh,Kenya,681-128-1602
MERCHANT22741,2020-12-29 14:13:23,Quid,401 Trace port,Texas,Santa Ana,Iran (Islamic Republic of),100-845-5888
MERCHANT46606,2022-10-26 03:24:56,Compliance and Risks,70655 Lodge side,Idaho,Virginia Beach,Sweden,693-091-9781
MERCHANT10006,2022-11-26 16:50:29,Weather Underground,885 South Villages ville,West Virginia,Louisville/Jefferson,Saint Pierre and Miquelon,949-084-0767
MERCHANT21463,2022-01-05 04:33:01,YourMapper,968 Port burgh,Alaska,Minneapolis,Bahrain,236-635-5947
MERCHANT2840,2023-01-07 07:51:18,Overture Technologies,293 Drives borough,Arkansas,Henderson,Guyana,877-063-5337
MERCHANT28237,2021-02-14 03:37:41,Code-N,1055 Drives borough,Utah,Norfolk,Fiji,918-730-6458
MERCHANT43330,2020-03-27 06:39:53,Cerner,307 Glens town,Nebraska,Fort Wayne,Pakistan,871-718-0285
MERCHANT56874,2021-01-21 19:21:40,WaterSmart Software,576 East Knoll berg,Washington,New Orleans,China,021-025-6272
MERCHANT48822,2022-07-09 05:35:46,Esri,373 West Springs town,Iowa,El Paso,Sweden,074-310-8822
MERCHANT22468,2022-02-05 19:54:03,CareSet Systems,938 Manor side,Maryland,Portland,Central African Republic,440-351-6264
MERCHANT25638,2020-03-02 03:25:37,FlightView,3230 Pike side,New Jersey,Lincoln,Russian Federation,645-494-0326
MERCHANT19236,2022-08-07 12:46:44,ProgrammableWeb,651 New Extension land,Alabama,Virginia Beach,Kuwait,560-660-1313
MERCHANT2840,2020-04-24 16:55:27,Zillow,20134 Courts stad,New Mexico,Laredo,Antarctica,918-032-7568
MERCHANT22468,2022-10-26 00:08:34,OSIsoft,2944 New Radial mouth,Massachusetts,Irving,Guadeloupe,574-046-6939
MERCHANT16418,2022-01-28 09:42:33,"Ontodia, Inc",944 Walk port,Texas,Pittsburgh,Ghana,488-870-4191
MERCHANT6725,2023-05-23 05:48:14,Outline,663 Bridge mouth,Maine,Chicago,Northern Mariana Islands,969-781-5519
MERCHANT9930,2022-12-31 10:29:28,Trintech,4308 Forks berg,South Carolina,Newark,France,962-338-8490
MERCHANT54479,2023-03-16 09:48:23,Fujitsu,90901 South Forest fort,Mississippi,Arlington,Maldives,477-132-5735
MERCHANT17896,2021-12-24 20:49:10,Quid,4655 North Courts fort,Iowa,Glendale,Cayman Islands,330-434-9482
MERCHANT53498,2022-02-10 23:03:19,Rivet Software,89249 Crossroad berg,Alaska,Oklahoma,Timor-Leste,480-289-2604
MERCHANT29542,2021-06-09 12:06:35,KLD Research,4397 New Throughway ton,Arkansas,Fremont,Bermuda,329-130-3022
MERCHANT14843,2022-11-16 14:18:19,TuvaLabs,66883 New Loaf chester,Florida,Winston-Salem,Uzbekistan,545-943-3270
MERCHANT32770,2023-01-29 18:42:00,Bridgewater,81165 North Radial side,New Jersey,Austin,Morocco,011-908-7383
MERCHANT21463,2021-02-04 08:17:33,Citigroup,316 Spur shire,Nebraska,Miami,Guinea-Bissau,723-873-1444
MERCHANT60291,2020-06-05 03:10:10,indoo.rs,3897 Rest mouth,Oklahoma,Chandler,Grenada,388-413-0638
MERCHANT7866,2022-04-16 21:59:09,Booz Allen Hamilton,36180 South Vista bury,Indiana,Glendale,Liberia,772-284-1234
MERCHANT8095,2023-03-01 18:19:04,SmartAsset,5862 Lake Pine ton,Louisiana,Austin,Panama,880-446-4267
MERCHANT20025,2021-09-26 09:02:56,CityScan,10912 North Extensions mouth,Missouri,Jacksonville,Pakistan,771-981-7193
MERCHANT16109,2020-10-12 17:55:28,Parsons Brinckerhoff,873 North Springs land,Kansas,Kansas,India,640-841-9606
MERCHANT11948,2020-03-06 16:02:00,Sterling Infosystems,3292 Drive haven,Nebraska,Plano,Czechia,965-690-5635
MERCHANT3233,2021-12-14 15:20:24,Zurich Insurance (Risk Room),6476 Radial view,Arkansas,Raleigh,Svalbard and Jan Mayen,902-769-6738
MERCHANT40152,2021-03-27 16:22:17,Dow Jones & Co.,8366 Manors berg,New Hampshire,Nashville-Davidson,Bhutan,637-845-4195
MERCHANT25043,2020-01-13 17:05:09,Connotate,5020 West Ramp fort,Louisiana,Long Beach,Wallis and Futuna,137-821-3883
MERCHANT3480,2023-03-22 05:47:45,Dow Jones & Co.,182 North Cove borough,Minnesota,Miami,Andorra,762-063-1464
MERCHANT65023,2021-10-04 06:11:08,AllState Insurance Group,462 East Circle land,Connecticut,Memphis,Montenegro,222-523-1647
