order_id,user_id,estimated_arrival_in_days,transaction_date
26de6b40-db2d-40b9-a64c-58736eaf0381,USER36943,3,2023-01-30
71ef25bd-1146-4ac9-b371-ede0cda08093,USER10211,7,2023-04-13
d06a6ad2-b254-4cc6-8397-4c9bf1a2823e,USER28839,3,2023-04-05
8bfbd31b-5a72-4c80-9e95-9168e9d822e3,USER00089,4,2023-04-07
3fab0712-4542-4779-89cc-29518063ce8f,USER63283,12,2023-04-18
82eedf3a-c4c8-4e8a-a98c-fd1a8a455e8c,USER46707,10,2022-12-02
5b745b71-71ba-4fe1-ab3a-7d5b6d1480ff,USER27991,3,2022-12-15
6bff72ef-dfdd-427d-8f20-d92c4ec82215,USER35059,11,2023-01-27
21749437-11fa-4635-9014-ce17b22ec734,USER48456,4,2023-03-20
e36359d3-66ca-4cca-9392-e11cc8e4ebe2,USER26654,5,2022-12-14
72803179-657d-4167-b634-631af4dba45c,USER40290,13,2023-04-15
cbbc1fbf-a914-454e-9e2e-bb89afbc2034,USER12761,9,2023-04-30
fc1cca03-c531-4e48-8330-5b9c7020fb2e,USER17039,7,2023-05-24
54ab285c-7b48-46a7-8f8d-0d27c518352c,USER15573,12,2023-02-02
33f7ea7d-9684-4197-8486-59510cc99637,USER33252,13,2023-03-30
858c3c56-dc53-4349-ae6e-da47a76dd034,USER40865,9,2023-04-09
69cc432f-d796-4267-9668-e053addcf64f,USER37040,9,2022-12-24
fd1c7146-8cbf-49fa-a24f-1ad6f6ba0ada,USER25499,13,2023-05-15
71a61245-e7bd-4bfd-9017-195980a443e2,USER15706,4,2023-02-19
600d7637-4a7b-4070-970a-0e966428344c,USER20521,4,2023-01-28
1f0a2706-70c3-4b33-9502-f6dd8a3eda76,USER59487,11,2023-04-05
4e22850c-2d41-436c-968f-ecdd285ade57,USER48684,7,2023-01-14
474531f0-6587-4329-95b4-261c24a918ca,USER11411,10,2023-04-24
72044390-e212-4297-b389-b36959a5ec91,USER14058,8,2023-01-01
a342fff3-b1c2-4dd3-8759-58cea7ddbe03,USER14896,3,2023-05-07
335c46b6-692c-4b16-91ec-e3c5bf00a10e,USER62024,14,2022-12-29
6da8e186-9eae-4679-8084-8838fdea72ee,USER49169,4,2023-03-22
0ff9b4d3-4737-4cf5-ad81-fe4ad412ca33,USER38326,12,2023-05-18
4282b9ce-0f2b-4978-9726-406db6dc1712,USER18098,13,2022-12-31
c7d5da58-5686-4848-b058-7612f05eb718,USER37524,8,2023-01-21
f055aab6-2e51-42a4-8362-43fa53d94c94,USER02596,5,2023-03-18
cae7cfb3-07b2-4570-9a88-598f922b0ac9,USER37895,13,2023-01-11
486cb323-37cc-4d96-af1d-2172f4a8d417,USER21826,5,2023-03-24
78e74c18-9fae-41b6-a1c0-009f91e3a343,USER01661,8,2023-01-21
520db9b6-48a9-4078-90cc-1b1f3c35e48a,USER38021,10,2023-04-30
26aab31d-d635-4380-a9b3-9102073858dd,USER44532,3,2023-01-28
616a455b-836d-4732-a185-01b99c54faca,USER30561,14,2023-03-19
a354ad7f-8d2f-40a1-aa02-9a2fe1e8978a,USER57065,13,2023-04-18
1f2b241a-a835-4391-beed-3d406c7e223d,USER07752,9,2023-01-11
92048e5a-7177-4b33-9dc7-193b42b75012,USER19055,10,2022-12-24
8c9a7542-6148-45bf-ac17-0ffc4274060e,USER00422,9,2023-02-05
5cf6284d-4fed-48f5-88b9-74a0fb020a39,USER06638,12,2023-05-30
a7b0ef4e-c34c-41ee-a02c-9e35d4659f1d,USER44216,8,2022-12-05
890856f3-3e41-40ac-9f15-425335c8becc,USER26267,11,2022-12-11
21b287c0-3358-465c-ad06-c10ab0ad8188,USER28917,6,2023-02-07
ed45c6e8-51d5-4e8e-b950-23d65fd3ac01,USER50020,10,2023-02-09
b4e2e9df-25a8-45f1-bcca-9369047dac7a,USER49327,13,2023-04-01
7b94e60c-b640-4999-a47f-bb9756c1f91c,USER65172,13,2023-02-26
80b66df7-e915-425f-99cd-3bbd3f5aa2fd,USER51390,12,2023-05-05
aff04441-a08c-4485-9da1-3a06b42164b2,USER42561,6,2023-01-18
5b9a7988-ebb8-48f3-8a52-26d8079a0816,USER31416,11,2023-03-07
382849b3-1a5e-4194-9026-cfda400f0127,USER42073,12,2023-05-01
51bfd441-306c-49bd-bd82-1bc2551acb0a,USER41883,6,2022-12-19
f62f86c5-33bc-4f48-97da-5d1418cb8963,USER42049,8,2023-03-03
a5a9dda0-3fc0-4d22-957e-148802d4bf55,USER58082,7,2023-01-30
e9b30199-61db-4f7f-b022-e67317bd269c,USER22629,4,2023-02-01
b716c261-54c0-460e-9b0f-dbc2a5f650b3,USER63063,7,2023-02-06
ac3970d8-b12c-499f-8551-738f15fd2bf5,USER51621,11,2023-04-04
7cb2ee8c-7098-4747-9699-b6d3340f2225,USER05848,12,2023-01-13
d1ff16c5-1717-4b7b-8c2a-bf0e51523133,USER18340,8,2022-12-11
2485989a-e940-4ea7-a374-33a8222aedf5,USER00964,13,2023-04-14
fd1acebc-7868-48b4-8aa5-e899365ab6ca,USER15803,4,2022-12-02
db62ae38-7531-4962-bb30-ea74b890cec4,USER29148,8,2023-01-23
c163177f-e83b-4545-9fca-4c22f18a8491,USER03731,4,2023-05-16
a9a3d3e5-daf4-462e-9f61-7a3eb1564a91,USER45764,5,2023-01-29
577f8cb2-c7a8-4d01-b35a-54f581e189ad,USER56074,12,2023-02-10
8be2e77a-85dd-42ec-8968-de3e7899cac3,USER64565,7,2023-04-17
e5301747-15db-484c-bd7d-2ed682005e81,USER34670,7,2023-04-23
812a5121-5f4e-422c-8931-c342e021c4b8,USER40550,7,2023-02-28
be729b78-d7a3-4af3-b143-7cb1bfda2cc7,USER63673,10,2023-02-02
8bedf1de-f882-4bd3-b513-15096a3266b3,USER02300,5,2023-04-13
60bb9307-a450-4b66-be81-34b739f4cb83,USER31498,7,2023-04-27
91ae4532-797d-4a69-81d6-5304c12d09fd,USER52583,12,2023-02-13
0c8cdbaf-b826-4051-b8d3-e64adde6367b,USER48637,9,2023-04-15
d16f60c6-986b-4041-96a6-67793547fecb,USER10219,6,2023-04-11
4993681b-bd91-48d8-b20c-ee89101533bb,USER18261,10,2023-01-02
a8d054b6-7b96-4c37-a88b-7b83ff2adc82,USER49812,12,2023-02-21
a286090a-3c59-4443-b367-6896a7fe0eb3,USER22595,8,2023-04-30
7a9d8119-8d1f-48d4-9bcb-21986a63b72e,USER11566,5,2023-01-20
002984db-da2a-4e52-a39f-a092ff353601,USER09492,6,2023-02-19
4de8dbc7-fcf7-400b-906a-f44752697abb,USER45836,4,2023-05-08
04b26aca-fdaa-4f2a-9065-894c2fa9f38b,USER63019,7,2023-05-31
9a2b9eff-b77a-452f-afb9-f08d3cee7000,USER19350,10,2023-04-15
54c58c7e-3280-4da3-90c3-15bebec51d42,USER04719,5,2022-12-01
c40d6d40-da99-48bf-be1f-255de865db0b,USER24991,13,2023-03-02
cb345dae-06b9-4e9c-8edc-4938d4490f76,USER56548,5,2023-01-18
e184e662-122f-41e2-83ad-672a078b1ddd,USER54553,11,2023-05-08
1e2e1b99-fa22-4009-aae1-c21a6171aa23,USER51767,10,2023-05-10
acd836c1-a180-49fe-8509-a789f83e6049,USER39395,12,2023-04-27
9d966320-c75f-4d8f-97b7-2d9d9aef0f1f,USER27167,6,2023-03-26
c19c4215-9b6d-4466-82ae-fbf6cb24df83,USER58202,10,2023-01-31
d807a1b4-2158-4db3-bc0b-7b43a46f4fe6,USER28355,4,2023-03-02
